date,metric,avg,total,count
2022-03-05,Steps,145.41666666666666,5235.0,36
2022-03-06,Sleep,,0.0,1
2022-03-06,Steps,240.48936170212767,11303.0,47
2022-03-07,Sleep,,0.0,2
2022-03-07,Steps,100.81818181818181,3327.0,33
2022-03-08,Sleep,,0.0,1
2022-03-08,Steps,101.97560975609755,4181.0,41
2022-03-09,Sleep,,0.0,2
2022-03-09,Steps,88.11627906976744,3789.0,43
2022-03-10,Sleep,,0.0,1
2022-03-10,Steps,160.4,5614.0,35
2022-03-11,Sleep,,0.0,2
2022-03-11,Steps,216.97916666666666,10415.0,48
2022-03-12,Sleep,,0.0,4
2022-03-12,Steps,108.70270270270271,4022.0,37
2022-03-13,Sleep,,0.0,1
2022-03-13,Steps,141.76315789473685,5387.0,38
2022-03-14,Sleep,,0.0,1
2022-03-14,Steps,79.34615384615384,4126.0,52
2022-03-15,Sleep,,0.0,1
2022-03-15,Steps,106.13636363636364,4670.0,44
2022-03-16,Sleep,,0.0,1
2022-03-16,Steps,114.92105263157895,4367.0,38
2022-03-17,Sleep,,0.0,1
2022-03-17,Steps,162.75,5859.0,36
2022-03-18,Sleep,,0.0,2
2022-03-18,Steps,80.23684210526316,3049.0,38
2022-03-19,Sleep,,0.0,2
2022-03-19,Steps,334.8723404255319,15739.0,47
2022-03-20,Sleep,,0.0,2
2022-03-20,Steps,207.29166666666666,4975.0,24
2022-03-21,Sleep,,0.0,4
2022-03-21,Steps,95.95238095238095,4030.0,42
2022-03-22,Sleep,,0.0,1
2022-03-22,Steps,148.67391304347825,6839.0,46
2022-03-23,Sleep,,0.0,1
2022-03-23,Steps,102.97560975609755,4222.0,41
2022-03-24,Sleep,,0.0,1
2022-03-24,Steps,113.93548387096774,3532.0,31
2022-03-25,Sleep,,0.0,1
2022-03-25,Steps,236.34782608695653,10872.0,46
2022-03-26,Sleep,,0.0,6
2022-03-26,Steps,122.21052631578948,4644.0,38
2022-03-27,Sleep,,0.0,1
2022-03-27,Steps,188.25531914893617,8848.0,47
2022-03-28,Sleep,,0.0,1
2022-03-28,Steps,133.66666666666666,7619.0,57
2022-03-29,Sleep,,0.0,1
2022-03-29,Steps,140.11363636363637,6165.0,44
2022-03-30,Sleep,,0.0,1
2022-03-30,Steps,127.82222222222222,5752.0,45
2022-03-31,Steps,235.15217391304347,10817.0,46
2022-04-01,Sleep,,0.0,1
2022-04-01,Steps,120.2,4207.0,35
2022-04-02,Sleep,,0.0,1
2022-04-02,Steps,142.8,4998.0,35
2022-04-03,Sleep,,0.0,1
2022-04-03,Steps,119.0,5593.0,47
2022-04-04,Sleep,,0.0,1
2022-04-04,Steps,121.22,6061.0,50
2022-04-05,Sleep,,0.0,2
2022-04-05,Steps,107.73170731707317,4417.0,41
2022-04-06,Sleep,,0.0,1
2022-04-06,Steps,194.1,7764.0,40
2022-04-07,Sleep,,0.0,2
2022-04-07,Steps,261.7659574468085,12303.0,47
2022-04-08,Sleep,,0.0,1
2022-04-08,Steps,222.1304347826087,10218.0,46
2022-04-09,Sleep,,0.0,4
2022-04-09,Steps,154.36363636363637,6792.0,44
2022-04-10,Sleep,,0.0,1
2022-04-10,Steps,70.80645161290323,2195.0,31
2022-04-11,Sleep,,0.0,1
2022-04-11,Steps,87.55,3502.0,40
2022-04-12,Sleep,,0.0,2
2022-04-12,Steps,219.4848484848485,7243.0,33
2022-04-13,Sleep,,0.0,2
2022-04-13,Steps,105.13513513513513,3890.0,37
2022-04-14,Sleep,,0.0,1
2022-04-14,Steps,128.48979591836735,6296.0,49
2022-04-15,Sleep,,0.0,2
2022-04-15,Steps,172.88888888888889,7780.0,45
2022-04-16,Sleep,,0.0,3
2022-04-16,Steps,100.75,4030.0,40
2022-04-17,Sleep,,0.0,1
2022-04-17,Steps,178.8409090909091,7869.0,44
2022-04-18,Sleep,,0.0,10
2022-04-18,Steps,75.70588235294117,2574.0,34
2022-04-19,Steps,173.07692307692307,6750.0,39
2022-04-20,Sleep,,0.0,5
2022-04-20,Steps,128.83018867924528,6828.0,53
2022-04-21,Sleep,,0.0,2
2022-04-21,Steps,167.625,5364.0,32
2022-04-22,Sleep,,0.0,10
2022-04-22,Steps,125.64864864864865,4649.0,37
2022-04-23,Sleep,,0.0,10
2022-04-23,Steps,176.8095238095238,7426.0,42
2022-04-24,Sleep,,0.0,6
2022-04-24,Steps,158.28,7914.0,50
2022-04-25,Sleep,,0.0,1
2022-04-25,Steps,108.65789473684211,4129.0,38
2022-04-26,Sleep,,0.0,2
2022-04-26,Steps,91.5,2928.0,32
2022-04-27,Sleep,,0.0,2
2022-04-27,Steps,114.0,4560.0,40
2022-04-28,Sleep,,0.0,1
2022-04-28,Steps,193.51162790697674,8321.0,43
2022-04-29,Sleep,,0.0,7
2022-04-29,Steps,288.68,14434.0,50
2022-04-30,Sleep,,0.0,1
2022-04-30,Steps,141.73684210526315,5386.0,38
2022-05-01,Sleep,,0.0,8
2022-05-01,Steps,167.05555555555554,6014.0,36
2022-05-02,Sleep,,0.0,2
2022-05-02,Steps,75.53658536585365,3097.0,41
2022-05-03,Sleep,,0.0,2
2022-05-03,Steps,105.3,3159.0,30
2022-05-04,Sleep,,0.0,3
2022-05-04,Steps,99.48387096774194,3084.0,31
2022-05-05,Sleep,,0.0,2
2022-05-05,Steps,199.8125,9591.0,48
